时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2014-11-01 00:00:00,国控,芜湖,,49,优,一级,33,27,48,35,1.191,1.287,23,30,37,71,33,55,10,10,0
2014-11-01 00:00:00,国控,芜湖,监测站,36,优,,25,20,0,24,1.426,1.671,24,36,11,21,12,17,23,19,0
2014-11-01 00:00:00,国控,芜湖,科创中心,52,良,,36,29,0,36,1.222,1.267,17,23,36,36,25,46,5,6,0
2014-11-01 00:00:00,国控,芜湖,四水厂,43,优,,30,27,31,30,1.495,1.56,31,34,28,37,30,31,7,7,0
2014-11-01 00:00:00,国控,芜湖,五七二零厂,62,良,,44,34,66,52,0.619,0.649,23,28,75,190,67,127,5,8,0
2014-11-01 00:00:00,国控,马鞍山,,71,良,二级,51,41,79,65,1.313,1.426,25,31,14,22,15,16,22,27,0
2014-11-01 00:00:00,国控,马鞍山,湖东路四小,68,良,,49,36,63,54,1.562,1.724,37,40,5,10,6,7,27,25,0
2014-11-01 00:00:00,国控,马鞍山,天平服装,59,良,,42,34,49,43,1.61,1.605,21,32,24,30,24,24,17,16,0
2014-11-01 00:00:00,国控,马鞍山,慈湖二小,82,良,,60,48,66,60,1.38,1.447,31,38,15,16,14,14,34,57,0
2014-11-01 00:00:00,国控,马鞍山,马钢动力厂,99,良,,57,52,148,116,1.204,1.576,20,28,8,20,12,14,20,27,0
2014-11-01 00:00:00,国控,马鞍山,市教育基地,65,良,,47,37,72,52,0.81,0.776,17,18,21,34,23,25,12,10,0
2014-11-01 00:00:00,国控,合肥,,161,中度污染,四级,122,58,156,81,1.236,0.978,17,13,18,24,16,20,15,12,0
2014-11-01 00:00:00,国控,合肥,明珠广场,176,中度污染,,133,61,169,92,1.664,1.356,24,21,28,31,26,26,26,14,0
2014-11-01 00:00:00,国控,合肥,三里街,137,轻度污染,,104,57,151,73,0.742,0.643,10,9,2,2,2,2,5,5,0
2014-11-01 00:00:00,国控,合肥,琥珀山庄,172,中度污染,,130,65,161,90,1.226,0.958,14,11,19,20,14,16,20,17,0
2014-11-01 00:00:00,国控,合肥,董铺水库,159,中度污染,,121,52,167,79,0.943,0.661,27,12,28,32,29,30,10,7,0
2014-11-01 00:00:00,国控,合肥,长江中路,147,轻度污染,,112,56,172,78,1.493,1.28,17,16,6,29,6,13,8,8,0
2014-11-01 00:00:00,国控,合肥,庐阳区,163,中度污染,,124,57,156,80,1.224,0.993,5,4,14,20,8,9,29,28,0
2014-11-01 00:00:00,国控,合肥,瑶海区,140,轻度污染,,107,56,131,74,1.725,1.455,28,22,23,32,22,29,7,5,0
2014-11-01 00:00:00,国控,合肥,包河区,148,轻度污染,,113,54,130,75,1.203,0.929,9,7,4,10,5,11,23,28,0
2014-11-01 00:00:00,国控,合肥,滨湖新区,180,中度污染,,136,60,144,86,1.049,0.841,26,24,45,55,43,49,11,5,0
2014-11-01 00:00:00,国控,合肥,高新区,199,中度污染,,149,63,188,92,1.093,0.663,15,11,14,17,14,15,15,12,0
2014-11-01 01:00:00,国控,芜湖,,48,优,一级,33,27,36,35,1.186,1.289,24,30,36,72,34,54,10,10,0
2014-11-01 01:00:00,国控,芜湖,监测站,32,优,,22,20,26,24,1.509,1.669,26,36,13,21,13,17,20,19,0
2014-11-01 01:00:00,国控,芜湖,科创中心,53,良,,37,29,0,36,1.199,1.274,17,23,42,42,29,43,5,6,0
2014-11-01 01:00:00,国控,芜湖,四水厂,46,优,,32,27,0,30,1.462,1.562,31,34,23,37,28,31,9,7,0
2014-11-01 01:00:00,国控,芜湖,五七二零厂,62,良,,44,35,47,52,0.572,0.65,23,27,68,190,68,127,6,8,0
2014-11-01 01:00:00,国控,马鞍山,,69,良,二级,49,42,73,65,1.362,1.426,27,30,14,22,15,16,21,26,0
